"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.105744421E1,-5.369334412E-1,9.697284393E0,-8.316705322E-1
3.115794721E1,-3.739224243E-1,9.570647736E0,-1.301094360E0
3.125844921E1,-4.689747620E-1,9.780960388E0,-1.211580505E0
3.135895321E1,-5.348377991E-1,9.845027161E0,-1.239721985E0
3.145945521E1,-4.622387695E-1,9.720336456E0,-1.757345581E0
3.155995821E1,-6.912625122E-1,1.000714005E1,-1.673819275E0
3.166046117E1,-7.568261719E-1,9.324709167E0,-2.910996552E0
3.176096417E1,4.061054993E-1,1.077878540E1,-3.282523956E0
3.186146617E1,4.671784973E-1,9.449549561E0,-6.446494446E0
3.196196917E1,-9.303153992E-1,6.449637909E0,-8.983269196E0
3.206247117E1,-2.447410583E-1,4.520749054E0,-8.678053894E0
3.216297417E1,-5.583389282E-1,5.403762817E0,-5.443879395E0
3.226347617E1,-2.072140961E0,6.486161957E0,-3.363804932E0
3.236397917E1,3.191363525E-1,8.330027618E0,-8.834328918E0
3.246448017E1,-4.678071899E0,-1.533261566E0,2.065150497E1
3.256498317E1,-9.148974609E-1,4.908143463E0,1.503668106E1
3.266548504E1,2.440524902E0,1.027538223E1,4.686753845E-1
3.276598804E1,7.964936829E-1,1.017030075E1,-5.730084229E-1
3.286648904E1,-9.464817810E-1,1.007285339E1,-3.496728516E-1
3.296699204E1,1.082548828E0,9.713899841E0,-7.231462097E-1
3.306749404E1,-2.700384521E-1,9.833052063E0,-5.261558533E-1
3.316799704E1,3.598516846E-1,9.763746185E0,-1.450483704E-1
3.326849804E1,-4.577481079E-1,9.749825134E0,-4.005670166E-1
3.336900104E1,-6.668632507E-1,9.821076965E0,-2.010319519E-1
3.346950204E1,-4.920268250E-1,9.794282684E0,2.899470520E-1
3.357000504E1,-9.487271118E-1,9.844578094E0,1.592687988E-1
3.367050929E1,-4.794529724E-1,9.862241364E0,3.552113342E-1
3.377101229E1,4.342469788E-1,9.913883972E0,-2.377056885E-1
3.387151329E1,2.636018372E-1,9.995015259E0,-6.795867920E-2
3.397201629E1,5.143304443E-1,9.863738251E0,-6.706054688E-2
3.407251729E1,-5.604345703E-1,1.002570145E1,-4.956193542E-1
3.417301929E1,1.786834259E0,9.608668671E0,2.251318359E-1
3.427352029E1,8.972341919E-1,9.658215637E0,-7.185058594E-2
3.437402329E1,9.204359436E-1,9.773326263E0,-2.746788025E-1
3.447452429E1,7.840695190E-1,9.533075867E0,-2.261796570E-1
3.457502629E1,1.426533508E0,9.541009369E0,-6.791377258E-1
3.467552304E1,9.904902649E-1,9.709858246E0,-8.635542297E-1
3.477602604E1,2.832110596E-1,9.884844360E0,-9.541159058E-1
3.487652704E1,5.195695496E-1,9.841434631E0,-3.121009827E-1
3.497702904E1,2.118095398E-1,9.786498871E0,-1.477427673E-1
