"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.735415949E1,-5.337277800E-2,-8.475505747E-3,-8.628217503E-3
1.745180777E1,-5.451811850E-2,-8.093725890E-2,-3.077143058E-2
1.754945605E1,1.061347127E-2,1.695101149E-2,1.343864016E-2
1.764710434E1,3.359660041E-3,-4.199574888E-2,-3.199312463E-2
1.774475262E1,4.963133950E-3,1.221694518E-2,-1.221694518E-3
1.784240090E1,7.711946964E-2,-2.519744914E-3,6.032116711E-2
1.794004923E1,2.351761982E-2,-7.719582319E-2,1.718007959E-2
1.803769751E1,-1.206423342E-2,-5.169294775E-2,-4.657710437E-3
1.813534579E1,-2.351761982E-2,1.252236869E-2,-4.657710437E-3
1.823299408E1,-5.467082933E-2,7.513421029E-2,2.115058713E-2
1.833064241E1,-6.887302548E-2,2.023431472E-2,2.993151546E-2
1.842829069E1,6.566607859E-3,-1.863084175E-2,1.916533336E-2
1.852593902E1,-2.786990628E-2,7.253811229E-3,1.985253533E-3
1.862358730E1,-4.016320780E-2,5.322006717E-2,1.053711493E-2
1.872123564E1,-6.917845458E-2,2.641914412E-2,1.786728203E-2
1.881888392E1,-7.284353673E-2,-5.222744122E-2,4.764608666E-2
1.891653225E1,-2.954973653E-2,1.397313084E-2,4.489727318E-2
1.901418059E1,1.870719716E-2,3.924693540E-2,-4.153761268E-2
1.911182892E1,-5.390727147E-2,-4.680617154E-2,-3.451287001E-2
1.920947720E1,-2.183778957E-2,3.596363217E-2,2.389939874E-2
1.930712553E1,5.787777901E-2,1.501157135E-1,2.580829710E-2
1.940477387E1,8.231166750E-2,1.730988473E-1,-6.261184346E-3
1.950242220E1,-6.421531737E-2,6.421531737E-2,2.443389036E-2
1.960007048E1,-3.802524135E-2,-1.672194339E-2,8.093725890E-3
1.969771882E1,-2.756448276E-2,3.649812192E-2,9.697199799E-3
1.979536715E1,1.359135192E-2,4.054498672E-2,1.855448633E-2
1.989301548E1,7.337802649E-2,1.017824262E-1,2.328855172E-2
1.999066382E1,7.230904698E-2,3.749075159E-2,2.687728032E-2
2.008831215E1,1.211004704E-1,5.039490014E-2,3.817795368E-4
2.018596048E1,9.093988687E-2,5.337277800E-2,9.009997360E-3
2.028360882E1,1.539335102E-1,4.459185153E-2,1.191152167E-2
2.038125715E1,1.040730998E-1,-1.595838554E-2,-1.679830020E-3
2.047890548E1,-6.765133142E-2,-1.656923257E-2,4.810422193E-3
2.057655382E1,2.855710872E-2,6.406260282E-2,-8.017370477E-3
2.067420215E1,3.588727489E-2,-9.704835713E-2,3.268032894E-2
2.077185048E1,9.620844387E-3,-9.162709117E-3,5.070032179E-2
2.086949882E1,4.039227590E-2,7.627955079E-2,1.756185852E-2
2.096714715E1,1.710372418E-2,1.855448633E-2,1.191152167E-2
2.106479548E1,1.893626526E-2,-1.030804776E-2,1.855448633E-2
2.116244382E1,-1.122431830E-2,2.977880416E-3,2.466295846E-2
2.126009220E1,-5.543438718E-2,1.061347127E-2,2.756448276E-2
2.135774053E1,-3.710897267E-2,2.741177008E-2,7.253811229E-3
2.145538887E1,-3.275668249E-2,7.933378965E-2,1.527118124E-2
2.155303720E1,-8.399150101E-4,1.550024934E-2,1.068982668E-2
2.165068559E1,-7.024743594E-3,-5.955760926E-2,6.566607859E-3
2.174833392E1,-5.047125369E-2,-8.780929446E-2,6.872031372E-4
2.184598225E1,-1.455343664E-1,-6.039752439E-2,-4.604261369E-2
2.194363064E1,-1.065164879E-1,-6.627693027E-2,-8.933641016E-3
2.204127897E1,-5.413633958E-2,6.108472589E-3,-8.017370477E-3
2.213892736E1,-1.028514057E-1,-8.559497446E-2,-4.077405483E-2
2.223657569E1,8.223531395E-2,-8.017370477E-3,-1.496575773E-2
2.233422408E1,4.940227047E-2,-2.977880463E-2,-2.367033157E-3
2.243187241E1,-9.147437662E-2,5.566345528E-2,-1.908897655E-3
2.252952079E1,-1.824906096E-2,-1.366770733E-2,-2.786990628E-2
2.262716918E1,1.107160654E-2,-2.347944081E-1,-4.451549426E-2
2.272481751E1,-5.451811850E-2,-1.626380906E-2,8.933641016E-3
2.282246590E1,5.245650932E-2,4.314108938E-2,2.901524538E-3
2.292011428E1,6.131379306E-2,-6.070294604E-2,8.628217503E-3
2.301776262E1,-4.504998401E-2,-1.344627589E-1,4.802786559E-2
2.311541100E1,-1.462215632E-1,-1.411057115E-1,5.810684711E-2
2.321305939E1,-3.206948051E-3,7.498150319E-2,2.535016090E-2
2.331070777E1,-2.855710872E-2,2.794626169E-2,4.031591862E-2
