"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.244733616E1,-6.882356405E-1,9.827920914E0,3.221337497E-1
1.254498434E1,-6.568298340E-1,9.821041107E0,3.221337497E-1
1.264263251E1,-6.008976102E-1,9.854540825E0,1.914258152E-1
1.274028069E1,-3.963112533E-1,9.763913155E0,1.241276711E-1
1.283792892E1,-1.046859920E-1,9.783055305E0,2.539383173E-1
1.293557710E1,-7.746763229E-1,9.786943436E0,2.730808854E-1
1.303322527E1,-1.980060786E-1,9.827322960E0,3.233301640E-1
1.313087345E1,-2.015953064E-1,9.824331284E0,3.005983531E-1
1.322852163E1,-2.198405862E-1,9.827621460E0,4.695914388E-1
1.332616980E1,-2.940180898E-1,9.740881920E0,2.467598319E-1
1.342381803E1,-3.131606579E-1,9.776474953E0,3.068794906E-1
1.352146621E1,-2.958126962E-1,9.831809044E0,4.247260094E-1
1.361911439E1,-1.758724600E-1,9.699605942E0,5.691927075E-1
1.371676262E1,-2.476571500E-1,9.857531548E0,4.671986103E-1
1.381441079E1,-2.356930375E-1,9.792925835E0,4.444667995E-1
1.391205897E1,1.621137410E-1,9.656535149E0,2.721835673E-1
1.400970720E1,-9.631111473E-2,9.856036186E0,2.333002090E-1
1.410735538E1,-4.357928336E-1,9.941879272E0,3.095714152E-1
1.420500361E1,1.794617027E-1,9.767203331E0,1.830509305E-1
1.430265178E1,1.313061416E-1,9.784550667E0,1.740778536E-1
1.440030001E1,-7.028916478E-2,9.900901794E0,1.645065546E-1
1.449794824E1,-4.725824669E-2,9.716355324E0,-5.264209956E-2
1.459559642E1,-4.396811500E-2,9.840782166E0,1.504487246E-1
1.469324465E1,-3.349951655E-2,9.777372360E0,-1.794617064E-2
1.479089288E1,1.914258152E-1,9.823135376E0,-3.110669367E-2
1.488854111E1,1.016949583E-2,9.852447510E0,5.054837838E-2
1.498618934E1,6.640082598E-2,9.923933029E0,-8.883354068E-2
1.508383757E1,-1.286142133E-2,9.715159416E0,-1.429711580E-1
1.518148579E1,9.332008660E-2,9.778269768E0,6.281159073E-2
1.527913402E1,-2.237289101E-1,9.807282448E0,-7.806584239E-2
1.537678225E1,-2.934198678E-1,9.755537987E0,-1.875374764E-1
1.547443048E1,-5.982056609E-4,9.979565620E0,1.004985496E-1
1.557207871E1,-4.097708762E-1,9.742676735E0,-2.931207791E-2
1.566972694E1,-5.264209956E-2,9.718150139E0,-1.411765367E-1
1.576737522E1,-3.948157281E-2,9.743872643E0,6.550352275E-2
1.586502345E1,6.131608039E-2,9.857831001E0,1.372881979E-1
1.596267173E1,-2.928216755E-1,9.871589661E0,5.443671346E-2
1.606031996E1,-2.596212626E-1,9.797711372E0,-1.495514181E-3
1.615796819E1,-5.446662307E-1,9.764810562E0,-3.888336942E-2
1.625561647E1,-2.679961324E-1,9.853643417E0,-4.546362907E-2
1.635326470E1,-1.259222925E-1,9.728918076E0,1.405783277E-2
1.645091298E1,-3.496512175E-1,9.775876999E0,2.404786795E-1
1.654856126E1,-1.079761237E-1,9.911370277E0,3.266202807E-1
1.664620949E1,-2.614158690E-1,9.805487633E0,1.818545163E-1
1.674385777E1,-1.755733639E-1,9.872187614E0,1.791625917E-1
1.684150605E1,-2.736790776E-1,9.727721214E0,1.061815023E-1
1.693915434E1,-4.142574072E-1,9.776774406E0,3.589233849E-3
1.703680262E1,-3.080759048E-1,9.806086540E0,-7.986045629E-2
1.713445090E1,-1.815554202E-1,9.769596100E0,1.552343667E-1
1.723209913E1,-1.265204996E-1,9.816853523E0,2.751746178E-1
1.732974741E1,-4.235295951E-1,9.866804123E0,1.830509305E-1
1.742739569E1,-2.060818523E-1,9.850952148E0,1.896311939E-1
1.752504402E1,-7.477570791E-3,9.731609344E0,1.597209126E-1
1.762269230E1,-3.723830283E-1,9.842277527E0,1.378864050E-1
1.772034059E1,-7.118647546E-2,9.802796364E0,1.214357466E-1
1.781798887E1,-2.560320199E-1,9.725926399E0,1.058823988E-1
1.791563715E1,-4.701896608E-1,9.909874916E0,1.818545163E-1
1.801328543E1,-1.325025558E-1,9.761220932E0,9.421738982E-2
1.811093376E1,-2.162513435E-1,9.852746010E0,1.316052526E-1
1.820858204E1,-3.649054468E-2,9.843474388E0,3.131606579E-1
1.830623032E1,-3.047857881E-1,9.721140862E0,2.192423791E-1
1.840387866E1,-8.823533356E-2,9.791728973E0,4.576273263E-2
1.850152694E1,-2.249253243E-1,9.877870560E0,2.835494876E-1
1.859917527E1,-1.914258115E-2,9.766006470E0,3.915255964E-1
1.869682355E1,-8.225327730E-2,9.840482712E0,4.534398913E-1
1.879447189E1,-9.990034252E-2,9.728319168E0,3.984049559E-1
1.889212017E1,3.888336942E-2,9.809974670E0,4.519443810E-1
1.898976850E1,-1.328016520E-1,9.809077263E0,4.839483798E-1
1.908741684E1,-1.836491376E-1,9.819247246E0,5.943173170E-1
1.918506517E1,-4.606183618E-2,9.786345482E0,4.875376225E-1
1.928271345E1,-1.776670814E-1,9.710074425E0,3.747758567E-1
1.938036178E1,-1.103689447E-1,9.764511108E0,4.698905349E-1
1.947801012E1,-1.890329868E-1,9.801599503E0,6.711867452E-1
