"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.410501029E1,3.195802867E-1,-2.368450165E-1,-1.342555881E-2
1.420426929E1,3.812836111E-1,-2.175398618E-1,3.680113330E-2
1.430352829E1,2.196337283E-2,-1.485449821E-1,-1.466764957E-1
1.440278729E1,8.737400919E-2,-7.244990021E-2,-9.206900746E-2
1.450204629E1,1.569587588E-1,-5.377791077E-2,1.779928431E-2
1.460130529E1,1.668703258E-1,2.347910590E-2,1.422342099E-2
1.470056367E1,5.126018524E-1,-5.877537280E-2,4.830881953E-2
1.479982267E1,5.219132304E-1,-2.176947147E-1,4.605904222E-2
1.489908167E1,1.030329391E-1,-5.256643295E-1,3.302470222E-2
1.499834067E1,-2.822276205E-2,1.047907397E-1,-9.842390567E-2
1.509759967E1,-4.733573645E-2,-2.600284815E-1,6.776879728E-2
1.519685867E1,5.901820958E-2,3.125963509E-1,9.642677754E-2
1.529611767E1,3.688966930E-1,-1.720265448E-1,1.190511137E-1
1.539537667E1,5.390333533E-1,1.549868006E-2,2.343470603E-1
1.549463567E1,-9.110485017E-2,-2.347823605E-2,1.458339393E-1
1.559389467E1,-3.790294528E-1,4.027723894E-2,1.000125036E-1
1.569315404E1,-3.782634139E-1,9.622427076E-2,-1.135005727E-1
1.579241304E1,-3.534461260E-1,-2.390944660E-1,-1.706523001E-1
1.589167204E1,-3.407736123E-1,-1.876224130E-1,-2.082347721E-1
1.599093104E1,-1.776361018E-1,-3.753568828E-1,4.331943393E-2
1.609019004E1,-1.923938692E-1,-1.906052381E-1,2.682867646E-2
1.618944904E1,-4.473462105E-1,-8.341617882E-2,-2.333506569E-2
1.628870804E1,-7.473788857E-1,2.329654992E-1,2.457053959E-1
1.638796704E1,-5.129129887E-1,1.722448766E-1,7.154181600E-2
1.648722604E1,-3.264574111E-1,1.357287765E-1,-1.343009472E-1
1.658648504E1,-5.269671082E-1,1.207799464E-1,-8.893717825E-2
1.668574392E1,-3.988995254E-1,1.978234649E-1,-7.529949397E-2
1.678500192E1,-3.338490129E-1,-2.296246029E-2,-6.092928350E-3
1.688426092E1,-5.353336334E-1,1.969037503E-1,-2.985528857E-2
1.698351992E1,-5.495457053E-1,4.598464966E-1,1.917411573E-3
1.708277892E1,-3.032451868E-1,2.160897851E-1,-6.248077378E-2
1.718203792E1,-2.027956545E-1,1.407204419E-1,8.930748701E-2
1.728129692E1,-1.495354921E-1,-8.522591740E-2,8.201390505E-3
1.738055592E1,-1.427764595E-1,2.605592310E-1,-1.219532490E-1
1.747981492E1,-3.174726367E-1,1.126977727E-1,-7.465419360E-3
1.757907392E1,-4.802534282E-1,6.208724529E-2,-3.482826799E-2
1.767833154E1,-4.271371365E-1,1.822785735E-1,5.522714928E-3
1.777759054E1,-3.056464791E-1,-1.273869872E-1,1.042618454E-1
1.787684954E1,-4.340996444E-1,2.227898836E-1,-4.801884666E-2
1.797610854E1,-4.525665045E-1,-2.010910958E-2,2.997059375E-2
1.807536754E1,-1.640856117E-1,9.200795740E-2,-4.474414885E-2
1.817462654E1,-5.552684888E-2,-6.308387965E-2,-1.577205583E-2
1.827388554E1,-2.488689423E-1,2.187794745E-1,-6.741590053E-2
1.837314354E1,-3.072791398E-1,3.118513152E-3,3.899671137E-4
1.847240254E1,-2.808736861E-1,5.200988427E-2,-2.783057839E-2
1.857166154E1,-2.448635548E-1,-2.536547780E-1,2.329417765E-1
1.867092008E1,-2.929479778E-1,-4.710713029E-2,9.097240120E-2
1.877017908E1,-3.599400222E-1,8.105369657E-2,-3.372602910E-2
1.886943708E1,-3.358315229E-1,-1.384057701E-1,1.716887951E-2
1.896869608E1,-3.397822976E-1,-8.923283219E-2,1.399795804E-2
1.906795508E1,-5.317080021E-1,3.129437268E-1,-7.218942791E-2
1.916721408E1,-6.935325265E-1,1.309815049E-1,-1.621113531E-2
1.926647308E1,-6.644907594E-1,3.568493426E-1,-3.771773353E-2
1.936573208E1,-4.841767251E-1,-8.042473346E-2,2.187598124E-2
1.946499108E1,-3.618806303E-1,-9.433482774E-3,2.295018546E-2
1.956425008E1,-3.118422925E-1,8.246833831E-2,-1.723222435E-2
1.966350908E1,-3.395603597E-1,1.164223477E-1,-1.344108395E-2
1.976276808E1,-3.175755739E-1,1.345472038E-1,-2.390350960E-2
1.986202708E1,-4.672558010E-1,-4.414679483E-2,-2.262242697E-2
1.996128608E1,-3.570480645E-1,8.146199584E-2,-2.720972151E-2
2.006054508E1,-1.783595383E-1,-1.746387631E-1,3.355189785E-2
2.015980508E1,-5.926728249E-2,-3.918282315E-2,-6.862593815E-3
2.025906408E1,1.008395031E-1,1.879928708E-1,-9.408740327E-3
2.035832308E1,1.509093121E-2,2.107918821E-2,-8.859583177E-3
2.045758308E1,-1.739236712E-2,-1.699771732E-1,4.513018206E-2
2.055684208E1,1.877141558E-2,9.362684190E-2,1.802049018E-2
2.065610317E1,1.512910984E-2,-3.482056037E-2,2.163537778E-3
2.075536217E1,2.097796276E-2,1.034350786E-2,1.050336938E-2
2.085462217E1,7.456215099E-3,2.443871647E-2,1.587086543E-2
2.095388217E1,1.215323247E-2,1.463162620E-2,2.253915370E-2
2.105314117E1,4.048878700E-2,1.456220895E-1,2.160632983E-2
2.115240117E1,3.316210583E-2,2.324425429E-2,3.229834884E-2
2.125166117E1,3.374955431E-2,8.796244860E-2,1.131635439E-2
2.135092117E1,-2.125594020E-2,-8.381512761E-2,4.987190478E-3
2.145018117E1,-4.589596763E-2,-1.109475791E-1,2.332294732E-2
2.154944117E1,-1.035480015E-2,-1.220691297E-2,1.209129859E-2
2.164870054E1,7.875878364E-2,9.617809951E-2,-1.013861783E-2
2.174796054E1,3.802585602E-2,7.827593386E-2,-3.221315518E-2
2.184722054E1,7.116497029E-3,8.633820340E-3,-5.440288689E-3
2.194648054E1,2.505018562E-2,-1.419682652E-1,2.385658212E-2
2.204574054E1,-8.265110850E-2,-9.354127198E-2,-9.187947959E-3
2.214500154E1,1.777323708E-2,5.126654357E-2,2.600806579E-2
2.224426154E1,4.879929721E-1,2.073833942E-1,-2.838274837E-2
2.234352154E1,4.966724217E-1,1.884413213E-1,-7.943177968E-2
2.244278254E1,1.158653945E-1,-4.307668656E-3,-1.770112664E-2
2.254204254E1,4.376246035E-1,8.289379068E-3,1.477495581E-2
2.264130354E1,5.100555420E-1,1.418760866E-1,-2.962423488E-3
2.274056354E1,4.871386588E-1,-2.093151063E-1,-1.114651561E-3
2.283982454E1,8.461871743E-1,-1.037302256E0,2.522543073E-1
2.293908554E1,9.573426247E-1,-6.739593111E-3,-6.938830763E-2
2.303834554E1,7.643747926E-1,4.000501335E-2,-8.154202998E-2
2.313760654E1,9.508202076E-1,2.613427304E-2,-8.580680937E-2
2.323686754E1,9.243330359E-1,-1.160783917E-1,-8.424801379E-2
2.333612754E1,9.030037522E-1,-9.418834001E-2,-5.869014934E-2
2.343538854E1,8.362327814E-1,2.036286332E-2,-9.764181823E-2
2.353464954E1,7.352690101E-1,1.377380341E-1,-1.195432022E-1
2.363391054E1,6.661954522E-1,1.466433704E-1,-1.041337326E-1
2.373317217E1,6.795861125E-1,-8.014936000E-2,-4.794551060E-2
2.383243317E1,6.696488261E-1,1.821434498E-2,-6.491452456E-2
2.393169417E1,6.607249379E-1,-4.594209045E-2,-5.867267027E-2
2.403095517E1,5.238941908E-1,2.957573719E-2,-3.971115500E-2
2.413021617E1,4.001821876E-1,4.580686241E-2,6.546946615E-2
2.422947717E1,3.886038363E-1,-2.885851264E-2,4.903410561E-3
2.432873817E1,4.549686313E-1,-2.525661886E-1,-4.129173979E-2
2.442799917E1,5.196990371E-1,-9.079839289E-2,-1.303006858E-1
2.452726117E1,4.804784358E-1,-4.332122859E-3,-9.080509841E-2
2.462652217E1,1.078537256E-1,1.943105757E-1,-8.739767224E-2
2.472578304E1,1.561980098E-1,6.211325154E-2,3.420064226E-3
2.482504404E1,2.343544960E-1,2.214732915E-1,4.100728035E-2
2.492430504E1,3.168915808E-1,-1.316393614E-1,2.313473448E-2
